STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TECH,Technology domain,UNIT_MEASURE,Unit of measure,SIZE,Family size,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2013,,15208.1992063491,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2014,,15390.769047619,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2015,,14883.5428571428,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2016,,15468.0658730158,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2017,,15746.0456349206,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2018,,16068.4261904762,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2019,,14704.369047619,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2020,,14864.7428571428,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1997,,4454.33333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1998,,4771.51666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1999,,5690.16666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2000,,6734.06666666665,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2001,,7194.04999999998,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2002,,7215.04999999999,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,OECDSO,OECD Asia Oceania,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2003,,8189.36904761902,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2005,,10.166666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2006,,20.249999999999,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2007,,13,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2008,,13.083333333331,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2009,,18.033333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2010,,20.678571428569,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2011,,43.499999999998,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2012,,26.333333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2013,,28.833333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2014,,30.166666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2015,,36.499999999999,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2016,,26.166666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2017,,22.366666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2018,,34,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2019,,35.333333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2020,,24.616666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2021,,24.5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1997,,0.833333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1998,,3,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1999,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2000,,3.5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2001,,5.75,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2002,,6.75,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2003,,6.25,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2004,,8.999999999999,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2005,,26.333333333331,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2006,,39.199999999997,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2007,,42.833333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2008,,62.399999999998,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2009,,41.116666666665,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2010,,48.83333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2011,,52.699999999996,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2012,,50.392857142855,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2013,,48.699999999998,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2014,,47.526190476186,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2015,,56.749999999999,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2016,,43.361111111107,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2017,,41.759523809521,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2018,,54.892857142848,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2019,,75.1952380952151,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2020,,65.783333333326,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2021,,54.999999999994,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1997,,16.916666666665,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1998,,25.25,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,1999,,29.133333333332,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2000,,21.999999999999,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2001,,15.583333333332,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2002,,11.449999999999,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2003,,25.976190476189,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IRL,Ireland,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2004,,26.199999999999,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2005,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2006,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2007,,4,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2008,,6,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2009,,7,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2010,,15.916666666664,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2011,,15.783333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2012,,9.916666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2013,,3.666666666666,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2014,,13,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2015,,10.166666666665,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2016,,12.333333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2017,,9.5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2018,,7.833333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2019,,3.833333333332,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2020,,6.833333333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,EST,Estonia,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2021,,6,,A,Normal value,0,Units,2,Two
